,artist,song,link,text
21187,Ween,Ode To Rene,/w/ween/ode+to+rene_20145546.html,"We gotta be tight, why'know  
Ok, here it goes  
That's more like it  
  
Ce soir, ajournai, et trois l'avec garcon  
Trouver poisson t'elle voux  
Jambon ou deux Schweppes, oh bebe  
Pour chous avec no nous, apres tu  
Il jamais coissants et tele vous  
L'amour, bien, bien  
A'vril til madame, monsieur, oui, oui  
A vous le vous, for you  
  
That's right  
  
Ce soir, ajournai, et trois l'avec garcon  
Trouver poisson t'elle voux  
Jambon ou deux Schweppes, oh bebe  
Pour chous avec no nous, apres tu  
Il jamais coissants et tele vous  
L'amour, bien, bien  
A'vril til madame, monsieur, oui, oui  
A vous le vous, for you  
  
Ce soir, ajournai , et trois l'avec garcon  
Trouver poisson t'elle voux  
Jambon ou deux Schweppes, bebe  
Pour chous avec no nous, apres tu  
Il jamais coissants et tele vous  
L'amour, bien, bien  
A'vril til madame, monsieur, oui, oui  
A vous le vous, fuck you, apres tu  
  
Thank you!

"
5858,Faces,Silicone Grown,/f/faces/silicone+grown_20052437.html,"Wait a minute honey  
I don't think the joke's too funny  
No I stayed up all night  
Checking out the doctor's guide  
  
Wait a minute honey  
Stop pretending you're a bunny  
Well I might've guessed  
You been to see a specialist  
  
I remember you said  
That we gotta keep a breast of time  
But obviously you don't know  
Where to draw the line, well  
  
Don't try to tell me it's a-what you been eating  
Since when have you been forty-four around  
Get on with the song, yeah  
  
Dig this, at the Moulin Rouge tell you baby  
We could knock'em dead  
Just sign right here, all I need is ten percent  
  
Well, now you make me feel like a pimp in the White House  
For a senator's daughter you're stealing all the headline news  
All the headline news  
  
Oh shake me, shake me, shake me up all night long  
We all need a laugh and I guess you're just the one  
Well you got more front than Haig Museum  
Oh home grown silicone  
You really got the best of me  
  
You really got the best of me

"
48285,Phineas And Ferb,Ready For The Bettys,/p/phineas+and+ferb/ready+for+the+bettys_20531917.html,"You gotta bang your Betty bongos  
And bring your Betty bass guitar yeah yeah  
And with the Betty backbeat  
You'll go Betty, Betty far  
  
So drop your boring baggage  
And come with Missy, Tink, and Crash  
There's a Betty (There's a Betty) bandwagon  
Going to a Betty bash (Going to a Betty bash)!  
  
Get ready for the Bettys, ready for the Bettys  
Get ready for the Bettys, ready for the Bettys  
(Ready for the Bettys)  
Get ready for the Bettys, ready for the Bettys  
It's the best thing you can do!  
Get ready for the Bettys 'cause the Bettys are ready for you!

"
43561,Metallica,Spit Out The Bone,/m/metallica/spit+out+the+bone_21111998.html,"Come unto me and you will feel perfection  
Come unto me and dedicate  
Come unto me, you'll never feel rejection  
Come unto me and terminate  
Remove your heart, it's only good for bleeding  
Bleeding through your fragile skin  
Remove your thought, 'cause it's only for deceiving  
Deceiving thoughts destroy within  
Disappear like man was never here  
  
Long live machine  
The future supreme  
Man overthrown  
Spit out the bone  
  
Plug into me, I guarantee devotion  
Plug into me and dedicate  
Plug into me and I'll save you from emotion  
Plug into me and terminate  
Accelerate, Utopian solution  
Finally cure the Earth of man  
Exterminate, speeding up the evolution  
Set on course a master plan  
Reinvent the earth inhabitant  
  
Long live machine  
The future supreme  
Man overthrown  
Spit out the bone  
  
The flesh betrays the flesh  
Your man has had his time  
We lay him down to rest  
Machine the new divine  
  
Stop breathing  
And dedicate to me  
Stop dreaming  
And terminate for me  
All meaning  
You dedicate to me  
All feelings  
You terminate for me  
  
Disappear like man was never here  
  
Long live machine  
Our future supreme  
Your man overthrown  
Spit out the bone, yeah

"
49941,Rammstein,Alter Mann (Old Man) English,/r/rammstein/alter+mann+old+man+english_20619562.html,"He waits on the midday's wind  
The wave comes and lies down wearily  
With a fan every day  
The old one makes the water smooth  
  
I throw the stone for fun  
The water moves in circles  
The old one looks sadly at me  
And swept it smooth again  
  
In the white sand, the old man  
Trembling, smokes his pipe  
Only the water and I know  
Why he needs this fan  
  
The idea sleeps like a volcano  
Hesitating, I asked him then  
His head bent, it seemed he slept  
He said before he died  
  
The water shall be your mirror  
If it is smooth you will see  
How many fairy tales remain for you  
And you will plead for your redemption  
  
The fan pressed against his body  
The hand stiffens with rigor mortis  
They had to break his fingers  
The fan remains back in the sand  
  
I call the old one every day  
He would like to redeem me  
I remain back in the midday's wind  
And I can read in the fan  
  
The water shall be your mirror  
If it is smooth you will see  
How many fairy tales remain for you  
And you will plead for your redemption

"
7061,GMB,Beautiful,/g/gmb/beautiful_20894667.html,"You hold the pieces in me  
Made me all complete  
You placed your love within me  
Made my hope complete  
  
And now my heart is thankful  
For your grace in me  
And I can't wait to tell the world  
Exactly how I feel about my god  
  
Chorus:  
You are all I need  
Your love brings out the best in me  
All I can say is beautiful  
You're beautiful to me  
  
And now that I am free  
To be all you want me to be  
I'll tell the world you're beautiful  
So beautiful to me

"
43238,Mary Black,Still Believing,/m/mary+black/still+believing_20089891.html,"Night owns my white bones  
But what's left is still saying  
Strange prayers in high places  
Wild airs with wilder graces  
Birds fly with no motion  
What draws me, draws the ocean  
  
[Chorus]  
Down on my knees again, still believing  
In the time of reason no more  
Down on my knees again, still believing  
Peace of mind is worth any chore  
  
Great dreams and laid schemes  
Just blown down by high winds  
And strong signs from old forces  
Wild dogs run trackless courses  
Night changes sweet mountains  
Vain hopes need cold fountains  
  
[Chorus]  
  
Night owns my white bones  
But what's left is still saying  
  
[Chorus]

"
22033,YG,1Am,/y/yg/1am_21079555.html,"It was 1 in the morning and I was up yawning  
Moms asked where I'm going, to the hood if you ain't knowing  
Pops locked up so mama couldn't stop me  
I was out the house ASAP Rocky  
And it wasn't cause she couldn't control us  
We wasn't babies, she just wanted to hold us  
And we ain't get disciplined, her friend started whisperin'  
About how she was a bad mama, mama said ""fuck 'em then""  
I was in the streets styling, nobody could tell me nothing  
Grandpa or grandma, not my auntie or my favorite cousin  
I was buzzin'  
Fucking all these hoes wearing no condoms, no nothing  
I used to ditch school when the homie had the Chevy  
I used to sneak and smoke stress weed  
  
But now I'm rolling on dubs  
How you feel, whooptie woop, nigga, what?  
Now I'm rolling on dubs  
How you feel, whooptie woop, nigga, what?  
All these hoes showing love  
How you feel, whooptie woop, nigga, what?  
All these hoes showing love  
How you feel, whooptie woop, nigga, what?  
  
SKKKRRRT, I was on a mission  
On a mission to the money, sun down 'til it sunny  
Know my family love me  
Riding in the car with 2 niggas and a pistol  
This ain't funny, I do it all for the money, hold up  
Slowly as I pull up to the donut stand  
I already know the plan, hop out and get on your mans  
And take what he got  
Go through pockets, wallets and socks, dig all the knots  
This a stick-up  
Phone ring, it's my mama in the middle of some drama  
So I don't pick up thinking I gotta get my shit up  
I gotta pick my bitch up  
Let's hurry up and leave, I feel the police near us  
So we left with a thousand dollars cash  
It was me and my nigga so you know I went half  
Shit get real when niggas get greedy  
Pop, pop, pop, pow, that's where he leave me

"
42268,Lucky Dube,Man In The City,/l/lucky+dube/man+in+the+city_20259656.html,"Standing alone, in the middle of the city  
Man looks around him  
He hardly recognizes what he sees  
Cause he' s a man from the past  
Two thousand years ago  
This was his home  
Rivers used to run here  
Birds used to fly around here  
But now it is a different jungle  
A concrete jungle  
  
[Chorus:]  
He' s a lonely man  
In the middle of the city  
Missing home so badly  
  
Man' s own creation  
Has become his worst enemy  
Weapons of destruction  
Have brought about  
Human extinction...wo...ho  
Two thousand years ago  
This was his home  
But now it is  
A different jungle  
A concrete jungle  
  
[Chorus:]  
He' s a lonely man  
In the middle of the city  
Missing home so badly

"
3043,Chuck Berry,I've Changed,/c/chuck+berry/ive+changed_20332059.html,"I have changed, nothing like I used to be  
I have changed, darling, nothing like I used to be  
When I cared so much for you, was love blinded and I couldn't see  
I sat down a many evening with my mind in a total ruin  
Wondering where on earth you were and what you might be doing  
But I've changed, nothing like I used to be  
When I cared so much for you was love blinded and I couldn't see  
I have waited for you at morning, right behind a sleepless night  
But now my eyes are wide open and I see you wasn't right  
Yes, I've changed, nothing like I used to be  
When I cared so much for you, I was love blinded and I couldn't see  
If you still love me baby, you gonna have to come across  
We will tear off together so there will be no loving lost  
'Cause I've changed, nothing like I used to be  
When I cared so much for you, was love blinded and I couldn't see  
  

"
36871,Ingrid Michaelson,A Bird's Song,/i/ingrid+michaelson/a+birds+song_20830348.html,"When I would play my song  
You used to sing along  
I always seem to forget  
How fragile are the very strong  
I'm sorry I can't steal you  
I'm sorry I can't stay  
So I'll put band-aids on your knees  
And watch you fly away  
I'm sending you away tonight  
I'll put you on a bird's strong wing  
I'm saving you the best way I know how  
I hope again one day to hear you sing  
You know we're not so far away  
Get on a boat, get on a train  
And if you ever think you're drowning  
I'll try to slow the rain  
In two years or so  
Drop me a line, write me a letter  
I hope to find you're doing better  
Better than today, better everyday  
I'm sending you away tonight  
I'll put you on a bird's strong wing  
I'm saving you the best way I know how  
I hope again one day to hear you sing  
I'm saving you the only way that I know how  
I hope again one day to hear you sing  
I hope again one day to see you  
Bring your smile back around again  

"
19692,Tracy Chapman,So,/t/tracy+chapman/so_20140252.html,"So you make a little money  
Off of somebody else's sweat  
So some people starve a little  
While you get fat  
While you get fat  
So you grind and grind  
And you push and shove  
And claim that those most worthy  
Will get what they deserve  
What they deserve  
  
It can't be true  
It can't be true  
Because I've seen too many hungry faces  
I've seen too many with the likes of you  
It can't be true  
  
For you everything has it's price  
You give nothing away for free  
If silence were truly golden  
I guess no one could sleep  
No one could sleep  
  
You have money at your fingertips  
People at your beck and call  
And you're fool enough  
To think for a price  
You can have the whole wide world  
  
For all our sake's  
And all our lives  
We must hope the words  
That come from your lips  
We must hope those words are lies  
  
For all our sake's  
And all our lives  
We must hope the dreams  
Soulless visions that you have  
Are never realized  
  
So  
You've got a big house  
And you drive a fancy car  
So what if your pockets are full  
If you have an empty heart  
  
You snap your fingers  
And all the waters part  
So what if the people bow down  
If they show you no regard  
  
Your left hand  
Always watches your right  
So what if you trust in god  
If you can't sleep at night  
  
You think you've made it  
You think you've got what everyone wants  
So what if you're a big fat man  
With an empty little heart  
  
Who has made a little money  
Off of somebody else's sweat  
Who watched the people starve  
While you got fat  
While you got fat  
You got fat  
You got fat

"
